Gender,Personality,Anxious,Depressed,Neutral,Stressed,Happy,Helpfulness
Female,Feeler,"Listen to music, Take a walk, Read a book, Deep breathing","Listen to music, Take a walk, Do something creative( eg; handcraft, painting, etc), Sleep or baking ","Talk to someone, Listen to music, Read a book, Spend time with friends","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Cleaning","Talk to someone, Excercise, Spend time with friends, Sports",3
Female,Feeler,"Talk to someone, Do something creative( eg; handcraft, painting, etc)","Talk to someone, Spend time with friends","Listen to music, Take a walk",Binge eating ,Mindfulness,4
Female,Introvert,Spend time with friends,Cry,"Journaling, Talk to someone, Spend time with friends",Talk to someone,Spend time with friends,3
Female,Introvert,"Meditation, Listen to music, Deep breathing","Meditation, Listen to music, Take a walk, Deep breathing, Breathing technique","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends","Meditation, Talk to someone, Spend time with friends","Talk to someone, Do something creative( eg; handcraft, painting, etc), Spend time with friends",3
Female,Extrovert,"Talk to someone, Listen to music, Deep breathing, Breathing technique","Talk to someone, Excercise, Listen to music, Read a book","Excercise, Listen to music, Read a book, Spend time with friends","Excercise, Take a walk, Deep breathing, Breathing technique","Talk to someone, Listen to music, Read a book, Spend time with friends",4
Female,Introvert,"Meditation, Journaling, Talk to someone, Deep breathing, Spend time with friends, Breathing technique, Mindfulness","Talk to someone, Take a walk, Spend time with friends, Breathing technique","Talk to someone, Listen to music, Take a walk, Spend time with friends, Breathing technique, Sports","Meditation, Talk to someone, Excercise, Listen to music, Take a walk, Deep breathing","Talk to someone, Listen to music, Take a walk, Spend time with friends",3
Female,Introvert,"Meditation, Deep breathing, Breathing technique, Mindfulness","Meditation, Take a walk, Sports, Mindfulness","Talk to someone, Listen to music, Spend time with friends, Sports","Meditation, Excercise, Deep breathing, Mindfulness","Talk to someone, Excercise, Listen to music, Spend time with friends",5
Female,Extrovert,"Talk to someone, Deep breathing, Spend time with friends, Sleep","Deep breathing, Sleep","Talk to someone, Listen to music, Spend time with friends","Talk to someone, Listen to music, Deep breathing, Spend time with friends","Talk to someone, Listen to music, Spend time with friends",4
Female,Introvert,"Journaling, Talk to someone, Take a walk, Deep breathing","Journaling, Take a walk, Spend time with friends, Sports","Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends, Sports","Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends, Mindfulness","Journaling, Talk to someone, Excercise, Listen to music",3
Male,Adventurer,"Excercise, Listen to music, Deep breathing, Spend time with friends","Talk to someone, Excercise, Take a walk, Spend time with friends, Sports","Listen to music, Read a book, Spend time with friends, Sports","Meditation, Listen to music, Spend time with friends, Sports","Read a book, Spend time with friends, Mindfulness",4
Male,Adventurer,"Meditation, Journaling, Take a walk, Mindfulness","Excercise, Take a walk, Spend time with friends, Sports","Excercise, Read a book, Do something creative( eg; handcraft, painting, etc), Sports","Take a walk, Read a book, Deep breathing, Spend time with friends","Talk to someone, Take a walk, Spend time with friends",4
Female,Feeler,"Exercise, Listen to music, Take a walk, Sports","Exercise, Take a walk, Yoga, Sports","Listen to music, Read a book, Do something creative( eg; handcraft, painting, etc), Spend time with friends","Meditation, Exercise, Listen to music, Deep breathing","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends",5
Male,Feeler,Meditation,Exercise,Deep breathing,Sports,Sports,5
Female,Feeler,Spend time with friends,"Do something creative( eg; handcraft, painting, etc)",Talk to someone,"Do something creative( eg; handcraft, painting, etc)",Exercise,3
Female,Introvert,Meditation,Take a walk,Read a book,Mindfulness,Deep breathing,4
Male,Thinker,Meditation,Talk to someone,Read a book,Yoga,Mindfulness,5
Female,Introvert,Journaling,Journaling,Listen to music,Journaling,Read a book,3
Female,Introvert,"Journaling, Talk to someone, Take a walk, Deep breathing","Talk to someone, Exercise, Mindfulness","Listen to music, Take a walk, Do something creative( eg; handcraft, painting, etc), Spend time with friends","Meditation, Listen to music, Take a walk, Deep breathing","Exercise, Take a walk, Spend time with friends, Sports",4
Female,Extrovert,"Talk to someone, Listen to music, Take a walk, Deep breathing","Exercise, Take a walk, Spend time with friends","Listen to music, Take a walk, Spend time with friends","Meditation, Talk to someone, Exercise, Listen to music, Take a walk, Spend time with friends",Spend time with friends,3
Female,Feeler,"Talk to someone, Listen to music, Take a walk, Read a book, Deep breathing","Talk to someone, Exercise, Listen to music, Take a walk, Spend time with friends","Listen to music, Read a book, Spend time with friends","Listen to music, Take a walk, Read a book","Do something creative( eg; handcraft, painting, etc), Spend time with friends",3
Female,Extrovert,"Talk to someone, Listen to music, Sports, Mindfulness","Meditation, Journaling, Deep breathing, Mindfulness","Talk to someone, Listen to music, Spend time with friends, Sports","Talk to someone, Listen to music, Deep breathing, Sports","Talk to someone, Listen to music, Spend time with friends, Sports",4
Female,Introvert,"Talk to someone, Listen to music, Take a walk, Mindfulness","Talk to someone, Listen to music, Spend time with friends, Mindfulness","Exercise, Listen to music, Spend time with friends, Sports","Journaling, Talk to someone, Listen to music, Take a walk","Journaling, Listen to music, Spend time with friends",4
Female,Introvert,Talk to someone,"Mindfulness, sleep",Listen to music,Take a walk,"Talk to someone, Spend time with friends",3
Female,Adventurer,"Listen to music, Take a walk, Spend time with friends","Talk to someone, Take a walk, Deep breathing, Spend time with friends",Do my normal routine,"Talk to someone, Listen to music",Spend time with friends,4
Female,Thinker,"Meditation, Journaling, Listen to music, Take a walk, Deep breathing, Breathing technique","Journaling, Listen to music, Deep breathing",Listen to music,"Listen to music, Take a walk, Deep breathing","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends, Sports",4
Male,Introvert,Spend time with friends,Spend time with friends,Spend time with friends,Spend time with friends,Spend time with friends,4
Male,Introvert,"Listen to music, Deep breathing, Breathing technique","Take a walk, Breathing technique, Sports","Exercise, Listen to music, Read a book, Spend time with friends",Deep breathing,Spend time with friends,4
Male,Adventurer,"Listen to music, Take a walk, Deep breathing, Sports","Exercise, Listen to music, Sports, Mindfulness","Talk to someone, Listen to music, Take a walk, Spend time with friends","Listen to music, Take a walk, Deep breathing, Mindfulness","Talk to someone, Exercise, Listen to music, Spend time with friends",4
Male,Adventurer,"Meditation, Exercise, Listen to music, Take a walk, Spend time with friends, Sports","Exercise, Listen to music, Spend time with friends, Sports","Exercise, Spend time with friends, Sports","Exercise, Listen to music, Spend time with friends, Sports","Listen to music, Spend time with friends",4
Male,Introvert,"Exercise, Listen to music, Take a walk, Read a book, Deep breathing, Spend time with friends, Sports","Exercise, Listen to music, Take a walk, Read a book, Deep breathing, Spend time with friends, Sports","Exercise, Listen to music, Take a walk, Read a book, Deep breathing, Spend time with friends, Sports","Exercise, Listen to music, Take a walk, Read a book, Deep breathing, Spend time with friends, Sports","Exercise, Listen to music, Spend time with friends, Sports",5
Female,Introvert,"Meditation, Listen to music, Take a walk, Deep breathing","Listen to music, Take a walk, Deep breathing, Breathing technique","Talk to someone, Read a book, Breathing technique, Sports","Listen to music, Take a walk, Deep breathing, Breathing technique","Talk to someone, Exercise, Read a book, Spend time with friends",4
Female,Introvert,"Listen to music, Deep breathing, Spend time with friends","Listen to music, Take a walk","Do something creative( eg; handcraft, painting, etc), Sports","Talk to someone, Exercise, Spend time with friends","Listen to music, Do something creative( eg; handcraft, painting, etc)",4
Male,Adventurer,"Meditation, Yoga",Exercise,Deep breathing,"Do something creative( eg; handcraft, painting, etc)",Mindfulness,4
Female,Introvert,Listen to music,Listen to music,Listen to music,Listen to music,Listen to music,5
Female,Feeler,Sleep,Sleep,"Read a book, Do something creative( eg; handcraft, painting, etc)",Sleep,"Listen to music, Take a walk, Read a book, Do something creative( eg; handcraft, painting, etc)",3
Female,Introvert,Sleep,"Listen to music, Read a book, Do something creative( eg; handcraft, painting, etc)","Listen to music, Read a book, Do something creative( eg; handcraft, painting, etc)",Listen to music,"Take a walk, Read a book, Do something creative( eg; handcraft, painting, etc)",3
Female,Introvert,"Exercise, Listen to music, Take a walk, Deep breathing","Talk to someone, Exercise, Take a walk, Spend time with friends","Listen to music, Read a book, Do something creative( eg; handcraft, painting, etc), Spend time with friends","Journaling, Take a walk, Deep breathing, Breathing technique, Mindfulness","Journaling, Listen to music, Spend time with friends, Sports",4
